season,month,holiday,day_of_week,workingday,weather,temp,atemp,humidity,windspeed,count
2,5,0,2,1,2,24.0,26.0,76.58,0.12,6073
4,12,0,2,1,1,15.0,19.0,73.38,0.17,6606
2,6,0,4,1,1,26.0,28.0,56.96,0.25,7363
4,12,0,0,0,1,0.0,4.0,58.63,0.17,2431
3,9,0,3,1,3,23.0,23.0,91.71,0.1,1996
2,5,0,2,1,2,24.0,26.0,69.71,0.34,4451
4,11,0,4,1,1,7.0,11.0,33.35,0.35,5315
2,6,0,2,1,1,23.0,26.0,50.71,0.27,4891
3,9,0,6,0,1,23.0,26.0,50.17,0.25,8714
3,8,0,3,1,1,30.0,30.0,61.96,0.17,7347
3,8,0,0,0,2,26.0,27.0,84.58,0.23,5255
3,8,0,0,0,1,30.0,30.0,56.18,0.3,4334
2,3,0,5,1,1,2.0,5.0,49.5,0.23,2210
2,5,0,4,1,1,22.0,25.0,52.0,0.23,7384
4,10,0,0,0,1,12.0,16.0,74.12,0.1,4381
3,9,0,0,0,1,23.0,25.0,54.75,0.22,8227
1,3,0,6,0,1,6.0,10.0,59.46,0.22,2132
3,9,0,2,1,1,21.0,24.0,52.0,0.09,7767
1,3,0,5,1,2,11.0,14.0,40.71,0.41,4569
2,4,0,6,0,2,7.0,11.0,87.75,0.13,2455
4,11,0,3,1,1,7.0,12.0,61.38,0.1,5146
4,11,0,0,0,1,6.0,10.0,53.29,0.18,5107
1,12,1,1,0,1,5.0,9.0,50.7,0.24,1317
1,1,0,1,1,2,-4.0,1.0,60.38,0.19,1501
4,12,0,3,1,3,11.0,14.0,97.04,0.27,705
1,3,0,1,1,1,14.0,18.0,48.92,0.21,5298
2,4,0,2,1,2,11.0,14.0,64.21,0.39,1795
2,5,0,0,0,1,18.0,22.0,63.17,0.07,4333
3,9,1,1,0,1,30.0,31.0,79.08,0.15,6034
1,1,0,0,0,2,8.0,11.0,69.61,0.25,801
2,5,0,0,0,1,24.0,26.0,57.63,0.23,6118
1,1,0,5,1,2,-2.0,3.0,79.3,0.12,1167
2,3,0,4,1,3,2.0,5.0,91.83,0.22,1685
4,11,0,6,0,1,6.0,9.0,51.92,0.19,3926
1,3,0,2,1,2,5.0,9.0,65.57,0.18,2056
3,7,1,1,0,2,31.0,31.0,63.79,0.08,6043
4,12,0,1,1,2,12.0,16.0,92.5,0.19,5170
3,6,0,2,1,2,28.0,29.0,77.04,0.17,4835
1,2,0,3,1,1,10.0,14.0,56.79,0.23,4773
3,8,0,1,1,1,27.0,28.0,71.21,0.21,4338
3,8,0,3,1,1,30.0,31.0,67.75,0.14,7580
3,7,0,5,1,1,37.0,36.0,45.08,0.15,6207
3,8,0,4,1,1,30.0,30.0,59.04,0.08,7713
2,4,0,6,0,2,5.0,9.0,65.38,0.2,2252
3,9,0,2,1,2,24.0,25.0,87.25,0.36,4073
1,1,0,5,1,1,6.0,10.0,54.21,0.17,4098
4,9,0,0,0,1,18.0,22.0,46.71,0.22,7907
2,5,0,5,1,1,15.0,19.0,59.0,0.23,4608
1,2,0,2,1,1,8.0,11.0,39.58,0.19,4363
4,12,0,0,0,2,9.0,14.0,90.54,0.16,3228
1,2,0,3,1,1,7.0,11.0,53.12,0.18,4169
4,11,0,6,0,1,7.0,12.0,55.29,0.21,4067
1,1,0,4,1,2,9.0,13.0,80.29,0.18,4097
1,1,0,4,1,1,-5.0,-1.0,47.04,0.3,1406
4,9,0,1,1,1,17.0,21.0,49.29,0.14,7436
1,3,0,3,1,1,21.0,24.0,50.71,0.12,6312
2,5,0,4,1,1,26.0,27.0,71.67,0.17,6770
1,12,0,1,1,2,-1.0,3.0,57.75,0.15,2729
3,6,0,5,1,1,34.0,35.0,57.38,0.18,5823
3,7,0,6,0,2,29.0,31.0,69.92,0.14,6969
3,8,0,6,0,2,28.0,29.0,85.0,0.38,1115
2,4,0,1,1,1,23.0,25.0,77.67,0.19,4073
1,3,0,0,0,2,15.0,18.0,81.0,0.13,5892
1,12,0,1,1,2,-0.0,5.0,79.13,0.08,920
4,11,0,0,0,1,7.0,12.0,73.46,0.09,3649
1,2,0,2,1,2,5.0,10.0,50.88,0.14,3922
2,5,0,2,1,2,27.0,27.0,74.08,0.21,4492
3,8,0,5,1,2,30.0,31.0,71.58,0.24,5786
1,1,0,6,0,2,-0.0,5.0,49.88,0.16,1248
4,11,0,1,1,2,9.0,13.0,62.33,0.24,5499
2,4,0,0,0,1,16.0,20.0,27.58,0.23,5169
1,2,0,4,1,2,4.0,7.0,69.74,0.25,1807
1,3,0,2,1,1,1.0,5.0,45.67,0.2,3956
3,7,0,4,1,1,34.0,36.0,58.33,0.18,4390
4,12,0,0,0,1,-1.0,5.0,49.0,0.07,2743
1,3,0,5,1,2,12.0,16.0,84.21,0.11,4378
2,5,0,4,1,1,19.0,22.0,74.75,0.19,4864
1,1,1,1,0,1,-3.0,1.0,52.25,0.23,2298
3,6,0,5,1,1,31.0,30.0,57.33,0.22,4991
3,7,0,1,1,1,31.0,32.0,66.88,0.15,7105
3,7,0,1,1,1,33.0,35.0,63.58,0.28,4086
4,9,0,3,1,2,25.0,25.0,84.88,0.15,3907
1,2,0,0,0,1,-7.0,-5.0,46.46,0.41,1529
2,6,0,6,0,1,22.0,25.0,54.92,0.19,8120
2,5,0,3,1,2,11.0,14.0,73.71,0.33,2633
2,5,0,4,1,2,18.0,21.0,82.96,0.11,4575
4,11,0,4,1,2,8.0,12.0,58.17,0.16,5986
1,2,1,1,0,2,4.0,7.0,60.5,0.31,1107
3,8,0,2,1,1,34.0,35.0,57.04,0.15,4602
2,4,0,6,0,2,14.0,17.0,88.79,0.23,4036
4,9,0,5,1,2,23.0,22.0,97.25,0.08,2395
4,10,0,1,1,2,9.0,14.0,76.08,0.08,3570
4,9,0,5,1,1,21.0,23.0,64.75,0.21,5202
4,12,0,5,1,1,3.0,9.0,69.58,0.08,3620
3,9,0,3,1,1,27.0,28.0,69.71,0.17,4785
3,7,0,6,0,1,32.0,31.0,44.46,0.12,5119
2,4,0,6,0,3,12.0,16.0,88.83,0.34,795
4,10,0,5,1,2,6.0,9.0,58.58,0.23,3747
2,3,0,4,1,1,20.0,22.0,83.12,0.12,6871
4,12,0,4,1,2,6.0,10.0,66.79,0.13,4128
3,7,0,0,0,1,37.0,39.0,57.38,0.13,4672
3,8,0,1,1,1,25.0,27.0,55.46,0.16,4634
3,8,0,5,1,2,28.0,29.0,72.29,0.14,4153
2,6,0,5,1,1,24.0,26.0,35.42,0.25,5312
4,11,0,3,1,2,13.0,16.0,75.79,0.34,2566
3,7,0,1,1,1,32.0,34.0,75.71,0.09,3840
2,4,0,2,1,1,14.0,18.0,39.67,0.1,6772
3,9,0,5,1,1,23.0,25.0,66.88,0.15,8167
4,10,0,6,0,1,12.0,16.0,62.92,0.09,4308
2,5,0,2,1,1,34.0,35.0,63.67,0.11,3982
2,6,0,1,1,1,28.0,28.0,60.0,0.12,4548
2,4,0,2,1,1,13.0,16.0,43.5,0.25,5918
2,6,0,1,1,1,25.0,27.0,49.46,0.31,5020
2,6,0,5,1,1,26.0,27.0,73.58,0.14,4844
2,5,0,4,1,1,30.0,30.0,67.75,0.2,4677
3,7,0,2,1,1,34.0,33.0,54.08,0.2,4590
2,5,0,2,1,2,24.0,25.0,79.46,0.15,5115
3,7,0,5,1,2,30.0,31.0,75.79,0.23,4040
4,11,0,1,1,3,13.0,17.0,91.0,0.14,2765
3,9,0,1,1,1,22.0,25.0,50.38,0.26,7525
4,10,0,0,0,1,18.0,21.0,64.04,0.28,6639
2,3,0,1,1,2,12.0,15.0,73.74,0.29,2077
3,8,0,0,0,1,29.0,30.0,53.04,0.12,6544
4,10,0,5,1,2,20.0,23.0,81.5,0.13,5424
3,8,0,4,1,1,30.0,31.0,65.46,0.23,3805
4,10,0,3,1,2,26.0,27.0,79.38,0.07,7572
2,4,0,1,1,2,23.0,25.0,71.7,0.32,3348
4,10,0,2,1,2,19.0,22.0,70.17,0.11,4748
1,3,0,2,1,1,20.0,23.0,80.79,0.12,6093
4,11,0,5,1,1,8.0,13.0,56.88,0.15,3910
1,2,0,3,1,1,-1.0,4.0,42.3,0.09,1917
1,1,0,5,1,2,12.0,15.0,74.12,0.34,3456
4,12,0,4,1,1,1.0,5.0,50.88,0.17,5375
1,12,0,0,0,1,1.0,4.0,48.33,0.35,1796
3,9,0,5,1,2,26.0,25.0,89.79,0.12,3544
2,5,0,1,1,2,21.0,24.0,78.96,0.21,2843
2,4,0,5,1,1,18.0,21.0,69.46,0.15,7290
4,9,0,4,1,1,24.0,25.0,69.92,0.17,4839
1,2,0,1,1,1,11.0,14.0,37.58,0.42,1913
2,4,0,0,0,2,22.0,24.0,81.08,0.19,4191
1,1,0,2,1,2,-1.0,4.0,61.7,0.13,1985
3,7,0,0,0,1,36.0,35.0,48.08,0.16,4302
2,6,0,0,0,2,29.0,30.0,66.67,0.1,4744
2,6,0,1,1,1,23.0,25.0,48.71,0.28,6998
1,2,0,3,1,2,1.0,5.0,77.54,0.26,1526
2,4,0,3,1,1,22.0,25.0,61.42,0.24,3944
2,5,0,2,1,2,20.0,23.0,83.79,0.28,4123
4,11,0,0,0,1,14.0,18.0,69.83,0.21,3071
3,8,0,4,1,1,30.0,30.0,42.38,0.16,4792
1,1,0,6,0,1,-3.0,2.0,65.17,0.15,1098
4,10,0,6,0,1,17.0,20.0,48.33,0.26,5217
1,2,0,5,1,2,8.0,11.0,71.22,0.35,1461
4,10,0,5,1,1,24.0,26.0,62.75,0.11,8156
4,10,0,3,1,1,14.0,17.0,69.29,0.1,7461
1,2,0,5,1,1,18.0,21.0,51.67,0.26,2927
1,12,0,5,1,2,1.0,5.0,59.0,0.16,3095
