name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing
Alexis Sanchez,Arsenal,28,LW,1,65,4329,264,3,Chile,0,1,0
Mesut Ozil,Arsenal,28,AM,1,50,4395,167,2,Germany,0,1,0
Petr Cech,Arsenal,35,GK,4,7,1529,134,2,Czech Republic,0,1,0
Theo Walcott,Arsenal,28,RW,1,20,2393,122,1,England,0,1,0
Laurent Koscielny,Arsenal,31,CB,3,22,912,121,2,France,0,1,0
Hector Bellerin,Arsenal,22,RB,3,30,1675,119,2,Spain,0,1,0
Olivier Giroud,Arsenal,30,CF,1,22,2230,116,2,France,0,1,0
Nacho Monreal,Arsenal,31,LB,3,13,555,115,2,Spain,0,1,0
Shkodran Mustafi,Arsenal,25,CB,3,30,1877,90,2,Germany,0,1,1
Alex Iwobi,Arsenal,21,LW,1,10,1812,89,4,Nigeria,0,1,0
Granit Xhaka,Arsenal,24,DM,2,35,1815,85,2,Switzerland,0,1,0
Alex Oxlade-Chamberlain,Arsenal,23,RM,2,22,1519,83,1,England,0,1,0
Jack Wilshere,Arsenal,25,CM,2,18,1759,61,1,England,0,1,0
Aaron Ramsey,Arsenal,26,CM,2,35,1040,56,1,Wales,0,1,0
Francis Coquelin,Arsenal,26,DM,2,15,549,52,2,France,0,1,0
Gabriel Paulista,Arsenal,26,CB,3,13,552,45,3,Brazil,0,1,0
Kieran Gibbs,Arsenal,27,LB,3,10,489,45,1,England,0,1,0
Santi Cazorla,Arsenal,32,CM,2,12,943,38,2,Spain,0,1,0
Danny Welbeck,Arsenal,26,CF,1,15,1521,37,1,England,0,1,0
Rob Holding,Arsenal,21,CB,3,7,666,32,1,England,0,1,1
Mohamed Elneny,Arsenal,25,DM,2,10,683,26,4,Egypt,0,1,0
Lucas Perez,Arsenal,28,CF,1,15,2055,20,2,Spain,0,1,1
Emiliano Martinez,Arsenal,24,GK,4,1,372,8,3,Argentina,0,1,0
David Ospina,Arsenal,28,GK,4,7,544,2,3,Colombia,0,1,0
Carl Jenkinson,Arsenal,25,RB,3,5,561,2,1,England,0,1,0
Per Mertesacker,Arsenal,32,CB,3,6,702,1,2,Germany,0,1,0
Sead Kolasinac,Arsenal,24,LB,3,15,618,0,2,Bosnia,1,1,0
Alexandre Lacazette,Arsenal,26,CF,1,40,1183,0,2,France,1,1,0
Joshua King,Bournemouth,25,SS,1,8,997,178,2,Norway,0,2,0
Jermain Defoe,Bournemouth,34,CF,1,5,3213,166,1,England,0,2,0
Charlie Daniels,Bournemouth,30,LB,3,3,185,134,1,England,0,2,0
Artur Boruc,Bournemouth,37,GK,4,1,436,120,2,Poland,0,2,0
Steve Cook,Bournemouth,26,CB,3,5,184,112,1,England,0,2,0
Junior Stanislas,Bournemouth,27,LW,1,4.5,315,107,1,England,0,2,0
Adam Smith,Bournemouth,26,RB,3,5,200,104,1,England,0,2,0
Ryan Fraser,Bournemouth,23,LW,1,5,516,100,2,Scotland,0,2,0
Simon Francis,Bournemouth,32,RB,3,2.5,167,89,1,England,0,2,0
Benik Afobe,Bournemouth,24,CF,1,10,528,88,4,Congo DR,0,2,0
