name,club,age,position,position_cat,market_value,page_views,fpl_points,region,nationality,new_foreign,club_id,new_signing,big_club,age_cat
Mamadou Sakho,Liverpool,27,CB,3,15.0,934,35,2.0,France,0,10,0,1,3
DeAndre Yedlin,Newcastle+United,24,RB,3,5.0,764,0,3.0,United States,0,13,0,0,2
Alexandre Lacazette,Arsenal,26,CF,1,40.0,1183,0,2.0,France,1,1,0,1,3
Jordon Ibe,Bournemouth,21,RW,1,8.0,504,36,1.0,England,0,2,0,0,1
Alfie Mawson,Swansea,23,CB,3,6.0,509,94,1.0,England,0,16,1,0,2
Ben Foster,West+Brom,34,GK,4,4.0,484,113,1.0,England,0,19,0,0,6
Willy Caballero,Chelsea,35,GK,4,1.5,542,64,3.0,Argentina,0,5,0,1,6
Hal Robson-Kanu,West+Brom,28,LW,1,2.5,766,52,2.0,Wales,0,19,1,0,4
Tomer Hemed,Brighton+and+Hove,30,CF,1,2.5,253,0,4.0,Israel,0,3,0,0,4
Diafra Sakho,West+Ham,27,CF,1,10.0,214,12,4.0,Senegal,0,20,0,0,3
Dale Stephens,Brighton+and+Hove,27,CM,2,5.0,122,0,1.0,England,0,3,0,0,3
Pedro Obiang,West+Ham,25,CM,2,9.0,286,55,2.0,Spain,0,20,0,0,3
Will Hughes,Watford,22,CM,2,8.0,258,0,1.0,England,1,18,0,0,2
Charlie Austin,Southampton,28,CF,1,13.0,874,62,1.0,England,0,14,0,0,4
Jefferson Montero,Swansea,27,LW,1,4.5,187,18,3.0,Ecuador,0,16,0,0,3
Kasey Palmer,Huddersfield,20,AM,1,0.75,220,0,1.0,England,0,8,0,0,1
Kiko Femenia,Watford,26,RB,3,4.0,74,0,2.0,Spain,1,18,0,0,3
Theo Walcott,Arsenal,28,RW,1,20.0,2393,122,1.0,England,0,1,0,1,4
Kevin Mirallas,Everton,29,RW,1,13.0,417,119,2.0,Belgium,0,7,0,0,4
Nathan Dyer,Swansea,29,RW,1,3.5,313,12,1.0,England,0,16,0,0,4
Jose Holebas,Watford,33,LB,3,2.0,345,87,2.0,Greece,0,18,0,0,5
Sebastian Prodl,Watford,30,CB,3,4.0,169,67,2.0,Austria,0,18,0,0,4
Kurt Zouma,Chelsea,22,CB,3,15.0,723,15,2.0,France,0,5,0,1,2
Yohan Cabaye,Crystal+Palace,31,CM,2,15.0,456,91,2.0,France,0,6,0,0,4
Rajiv van La Parra,Huddersfield,26,LW,1,2.0,174,0,2.0,Netherlands,0,8,0,0,3
Jeff Hendrick,Burnley,25,CM,2,6.0,352,76,2.0,Ireland,0,4,1,0,3
