Perc_population,Spreading_factor
1.535,0.190708
5.555,0.326928
-0.277,-0.459699
1.724,-0.193013
-0.55,-0.835745
6.673,1.48193
6.025,1.2421
-0.573,0.238673
-0.857,0.234835
1.323,-0.216036
3.938,0.87373
7.279,1.4071
4.006,0.781637
-0.191,-1.27894
4.176,0.770125
1.047,-0.037606
-0.778,-1.8008
1.645,0.961986
-0.923,-0.782024
5.971,1.31885
3.784,0.714486
0.684,-0.0683037
1.026,-0.287024
0.959,-0.977721
1.484,0.261696
3.608,1.48768
0.413,-0.202606
4.355,-0.329234
0.105,0.171522
6.56,1.45507
4.177,0.468905
2.413,-1.46696
7.071,0.190708
-0.41,-0.711035
0.134,-0.0951641
-0.464,-0.607431
1.016,-0.799291
1.075,-0.377199
3.111,0.532219
7.324,0.889079
-0.878,-0.551791
2.604,-1.33074
1.247,0.898672
1.612,0.181115
2.282,0.300068
3.777,0.808498
4.691,0.844951
1.194,-0.862605
2.459,-1.62045
3.395,0.16001
7.114,1.26321
4.912,0.988846
1.661,-1.19836
6.809,1.28623
5.84,1.34762
1.771,1.09821
1.067,-0.91057
4.18,0.584021
1.203,0.0851845
0.801,-1.19836
6.484,1.48768
-0.621,0.357626
1.084,0.248266
-0.385,-0.352257
0.001,-1.2329
-0.323,-0.329234
1.839,-1.12162
-0.49,-1.74516
7.139,1.82919
0.753,1.16728
3.084,0.188789
5.49,0.990765
2.58,-1.19836
6.025,1.03489
1.267,-1.24824
5.997,1.31885
-0.314,0.858381
-0.579,0.372975
1.046,-1.8622
2.233,1.04449
7.061,1.36297
3.379,0.545649
2.585,-1.17534
0.854,-0.970047
1.099,-1.39789
7.202,1.34571
3.013,0.468905
0.781,0.827684
2.033,0.348033
-0.459,-1.6876
1.15,0.436289
1.377,0.106289
-0.465,-0.89714
5.691,1.00995
4.535,0.902509
0.613,-0.208362
0.166,-1.12545
4.594,0.902509
0.357,-1.34226
2.363,0.937044
1.877,0.466986
1.087,0.115882
-0.773,0.532219
2.961,0.597451
3.714,0.935125
0.153,-0.829989
6.512,1.02722
-0.505,-0.440513
3.263,0.039138
7.317,1.38983
5.707,1.16919
0.434,-0.440513
7.558,1.47425
5.047,1.26512
5.624,0.958148
0.605,-1.42092
-0.511,0.0429752
-0.137,-0.546036
-0.763,-1.73173
4.159,1.34571
6.726,1.47233
-0.867,-1.04871
0.798,-0.557547
6.572,1.40902
-0.908,-0.994989
-0.878,-1.6876
4.119,0.775881
-0.764,-1.54755
5.97,1.87716
2.242,0.240591
0.471,-0.191094
5.603,0.236754
6.144,1.14617
1.181,-0.822314
-0.706,0.125475
2.159,0.135068
2.288,0.532219
-0.236,-1.20028
5.564,0.793149
-0.998,-0.643884
0.323,-0.0663851
6.937,1.32652
1.361,0.33844
1.008,-1.18301
-0.762,-1.34226
2.952,0.823846
-0.171,-0.373361
4.102,0.0353008
-0.04,-0.363768
6.077,1.00803
-0.431,-0.423245
4.719,0.841114
4.202,-0.317722
-0.877,-1.23673
1.613,-0.55371
0.242,-1.8526
5.071,1.79082
0.88,-1.24633
3.906,1.15193
7.133,1.01379
1,-0.676501
5.191,0.960067
7.395,0.422858
-0.685,-0.703361
3.585,1.28239
2.033,0.200301
1.104,-0.893303
0.419,-0.254408
0.742,0.921695
-0.781,-0.847256
1.688,-1.28086
1.357,-1.4401
6.736,1.23826
1.422,0.192626
5.275,1.76204
0.885,0.234835
2.808,0.710649
1.702,-0.331152
6.872,1.20181
0.709,-1.03528
1.133,-1.40173
-0.743,-1.16191
2.061,-0.146966
-0.803,-0.442431
6.62,1.13466
0.923,-1.29621
-0.038,-1.00458
-0.497,-1.67417
5.602,1.65844
2.021,-0.290862
1.993,0.442044
7.384,0.123557
5.211,1.24594
0.626,0.591695
1.046,-0.983477
-0.997,-1.71255
1.701,0.217568
-0.749,-1.06598
-0.615,-0.835745
5.215,1.76204
-0.765,-0.615105
0.733,-0.0836525
-0.795,-1.1408
1.998,0.204138
4.97,0.88716
2.882,0.294312
1.136,-1.21371
2.631,-1.23673
2.378,0.808498
6.24,0.357626
3.96,0.616637
0.828,-0.110513
5.865,1.10588
-0.661,-1.47464
3.985,0.66844
1.182,0.0448938
0.657,-0.494233
2.53,0.534137
2.758,-0.104757
-0.949,-0.824233
1.109,-0.824233
2.94,-1.36528
1.44,-0.680338
5.396,1.17303
0.403,-0.453943
2.755,0.618556
6.968,1.48576
1.02,-0.638129
-0.284,-0.866442
1.761,0.119719
1.457,-1.8526
-0.767,-0.592082
5.934,1.72367
0.787,0.877567
5.793,1.24018
-0.824,-0.356094
0.71,-0.0510363
2.567,-0.889465
-0.146,0.50344
2.838,0.841114
6.726,1.30542
0.777,0.0353008
1.003,0.232917
-0.06,0.637742
-0.493,-0.499989
5.635,0.810416
3.493,0.51687
0.693,0.919776
6.617,1.42245
3.811,0.136987
0.939,-0.783942
-0.609,-0.455861
6.65,1.68722
-0.295,-1.78353
6.763,0.468905
0.638,0.898672
2.107,0.355707
-0.727,-1.56481
0.355,-1.21563
5.7,1.02722
7,1.44164
-0.643,-1.76243
-0.401,-1.51301
7.393,0.783556
-0.8,-1.3365
1.678,-1.40557
-0.391,0.885242
0.9,0.914021
-0.267,-1.40749
1.325,-0.835745
2.947,-1.17726
4.897,1.58553
6.752,0.0180334
0.58,-0.0836525
5.705,1.18071
5.307,0.390242
-0.161,-1.90824
6.384,1.51454
-0.167,-0.440513
1.329,1.16728
0.346,-0.350338
0.997,-0.603594
6.708,1.14425
-0.262,-1.68377
6.168,1.61239
7.315,0.449719
7.518,0.735591
2.844,0.0122776
3.585,-0.202606
-0.625,-0.964291
-0.403,-1.18301
